mamh,qt,th,gk,ck
CE005,30,0,0,70
CE101,20,20,10,50
CE104,30,0,20,50
CE333,20,0,30,50
CE334,15,15,20,50
CE335,20,30,0,50
CE336,20,15,15,50
CE337,20,30,0,50
CE338,20,20,10,50
CE341,10,25,15,50
CE344,15,20,15,50
CE401,30,0,20,50
CE402,10,20,30,40
CE405,50,0,0,50
CE407,20,0,20,60
CE409,20,15,15,50
CE411,20,30,0,50
CE421,20,15,15,50
CE430,15,15,20,50
CE432,20,15,15,50
CE439,10,20,20,50
IT006,30,0,20,50
IT007,15,20,15,50
IT012,10,20,20,50
PH002,15,20,15,50
CE107,10,20,30,40
CE111,0,30,20,50
CE117,0,0,0,100
CE212,15,20,15,50
CE221,10,20,20,50
CE303 ,30,0,20,50
CE304,10,20,20,50
CE312,30,0,20,50
CE313,30,0,20,50
CE314,25,0,25,50
CE315,10,20,20,50
CE316,30,0,20,50
CE317,20,0,30,50
CE318,20,20,10,50
CE319,30,20,0,50
CE321,25,0,25,50
CE323,10,20,20,50
CE324,15,15,20,50
CE325,0,30,20,50
CE326,0,30,20,50
CE327,30,0,20,50
CE331,30,20,0,50
BUS1125,30,0,20,50
CNBU004,50,20,0,30
CNBU005,30,20,0,50
CNBU006,30,20,0,50
CNBU007,35,30,0,35
CNBU008,20,30,,50
IT005,15,25,20,40
NT103,30,20,0,50
NT109,20,20,20,40
NT111,0,20,30,50
NT119,30,20,0,50
NT121,10,20,20,50
NT130,30,30,0,40
NT133,30,30,0,40
NT201,40,0,0,60
NT204,30,20,0,50
NT205,30,20,0,50
NT207,25,25,0,50
NT208,25,25,0,50
NT210,20,0,30,50
NT211,20,30,0,50
NT212,25,0,35,40
NT230,30,30,0,40
NT303,30,20,0,50
NT310,25,0,35,40
NT312,25,0,35,40
NT331,30,20,0,50
NT333,10,15,25,50
NT405,25,0,35,40
NT534,20,30,0,50
NT104,20,0,40,40
ACCT3603,50,0,0,50
ACCT5123,50,0,0,50
EC001,40,0,0,60
EC003,50,0,0,50
EC005,30,0,0,70
EC202,50,0,0,50
EC203,50,0,0,50
EC219,50,0,0,50
EC301,20,0,30,50
EC302,0,50,0,50
EC332,20,0,30,50
EC334,0,0,30,70
EC336,0,0,30,70
IS005,30,0,0,70
IS210,0,30,20,50
IS215,0,50,0,50
IS217,10,0,40,50
IS232,20,0,20,60
IS352,10,30,0,60
IS353,50,0,0,50
IS403,50,0,0,50
IT004,0,30,20,50
MSIS207,30,0,20,50
IT010,30,0,20,50
AI001,30,0,0,70
CE105,15,20,15,50
CNBU001,0,25,25,50
CNBU002,40,20,0,40
CS005,30,0,0,70
CS110,30,20,0,50
CS113,20,0,30,50
CS313,35,15,0,50
CS315,30,20,0,50
CS323,0,50,0,50
CS324,0,50,0,50
CS326,0,50,0,50
CS332,20,0,30,50
CS333,0,0,30,70
CS336,30,0,20,50
CS338,30,20,0,50
CS409,50,0,0,50
CS412,20,30,0,50
CS414,30,20,0,50
CS417,0,20,30,50
CS420,50,0,0,50
CS521,30,20,0,50
CS523,20,0,30,50
CS524,0,50,0,50
CS527,20,30,0,50
CS532,20,0,30,50
IT001,20,40,0,40
IT003,20,40,0,40
IT002,20,30,0,50
SE005,30,0,0,70
SE102,0,50,0,50
SE108,50,0,0,50
SE214,0,50,0,50
SE312,10,0,40,50
SE340,0,50,0,50
SE348,10,0,30,60
SE354,0,30,20,50
SE402,40,0,0,60
ENG01,30,0,0,70
ENG02,30,0,0,70
ENG03,30,0,0,70
1-Jan,15,25,30,30
2-Jan,15,25,30,30
3-Jan,15,25,30,30
4-Jan,15,25,30,30
5-Jan,15,25,30,30
6-Jan,15,25,30,30
7-Jan,15,25,30,30
8-Jan,15,25,30,30
MA003,20,0,20,60
MA004,20,0,20,60
MA005,20,0,20,60
MA006,20,0,20,60
SS006,0,0,40,60
SS009,50,0,0,50
SS004,20,0,30,50
SS008,50,0,0,50
SS007,50,0,0,50
SS010,50,0,0,50
SS003,50,0,0,50
PHYS1215,20,0,30,50
CS2134,0,30,20,50
CS3443,0,25,25,50
CS3653,30,0,20,50
CS4153,50,0,0,50
CS4283,0,30,20,50
CS4323,0,30,20,50
CS5423,0,30,20,50
CS5433,20,30,0,50
MATH2154,25,0,25,50
MATH3013,20,0,30,50
MKTG4223,50,0,0,50
MSIS2433,10,40,0,50
MSIS3033,20,30,0,50
MSIS3233,50,0,0,50
MSIS3242,50,0,0,50
MSIS4013,0,30,20,50
MSIS406,50,0,0,50
MSIS4133,30,0,20,50
MSIS4243,50,0,0,50
MSIS4263,30,30,0,40
MSIS4443,35,0,25,40
MSIS5723,20,0,30,50
SPCH3723,30,0,20,50
STAT3013,50,0,0,50
STAT4033,30,0,30,40
CU001,40,0,10,50
DS101,10,0,30,60
DS102,20,30,0,50
DS103,20,30,0,50
DS105,30,20,0,50
DS106,20,30,0,50
DS200,20,30,0,50
DS201,20,30,0,50
DS304,30,0,20,50
DS308,20,30,0,50
DS310,20,30,0,50
IE105,30,0,0,70
IE101,15,35,0,50
IE103,20,30,0,50
IE104,20,30,0,50
IE106,20,30,0,50
IE108,0,30,20,50
IE203,20,30,0,50
IE205,0,0,40,60
IE206,0,50,0,50
IE209,20,30,0,50
IE226,20,30,0,50
IE230,50,0,0,50
IE304,0,0,30,70
IE305,0,0,30,70
IE401,0,0,30,70
